ROC AUC micro,F1 micro,precision micro,recall micro,ROC AUC macro,F1 macro,precision macro,recall macro,ROC AUC weighted,F1 weighted,precision weighted,recall weighted,ROC AUC samples,F1 samples,precision samples,recall samples,ROC AUC - ecosystem_type.Salt_marsh,precision - ecosystem_type.Salt_marsh,recall - ecosystem_type.Salt_marsh,F1 - ecosystem_type.Salt_marsh,accuracy - ecosystem_type.Salt_marsh,n_target - ecosystem_type.Salt_marsh,ROC AUC - ecosystem_type.Mangrove,precision - ecosystem_type.Mangrove,recall - ecosystem_type.Mangrove,F1 - ecosystem_type.Mangrove,accuracy - ecosystem_type.Mangrove,n_target - ecosystem_type.Mangrove,ROC AUC - ecosystem_type.Coral_reef,precision - ecosystem_type.Coral_reef,recall - ecosystem_type.Coral_reef,F1 - ecosystem_type.Coral_reef,accuracy - ecosystem_type.Coral_reef,n_target - ecosystem_type.Coral_reef,ROC AUC - ecosystem_type.Seagrass,precision - ecosystem_type.Seagrass,recall - ecosystem_type.Seagrass,F1 - ecosystem_type.Seagrass,accuracy - ecosystem_type.Seagrass,n_target - ecosystem_type.Seagrass,class_weight,batch_size,weight_decay,learning_rate,num_epochs
0.3850929614873838,0.0,0.0,0.0,0.49903846153846154,0.0,0.0,0.0,0.49961538461538463,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9323308270676691,9,0.5,0.0,0.0,0.0,0.9022556390977443,13,0.49615384615384617,0.0,0.0,0.0,0.9774436090225563,3,0.5,0.0,0.0,0.0,0.9624060150375939,5,,16,0.3,5e-05,3
0.3851925630810093,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9323308270676691,9,0.5,0.0,0.0,0.0,0.9022556390977443,13,0.5,0.0,0.0,0.0,0.9774436090225563,3,0.5,0.0,0.0,0.0,0.9624060150375939,5,,16,0.3,5e-05,4
0.4613545816733068,0.0,0.0,0.0,0.5329031827267714,0.0,0.0,0.0,0.48923809277639924,0.0,0.0,0.0,,0.0,0.0,0.0,0.4829749103942652,0.0,0.0,0.0,0.9323308270676691,9,0.46282051282051284,0.0,0.0,0.0,0.9022556390977443,13,0.8076923076923076,0.0,0.0,0.0,0.9774436090225563,3,0.37812500000000004,0.0,0.0,0.0,0.9624060150375939,5,,32,0.0,1e-05,2
0.4691899070385126,0.0,0.0,0.0,0.53416746364075,0.0,0.0,0.0,0.5470426230355667,0.0,0.0,0.0,,0.0,0.0,0.0,0.628136200716846,0.0,0.0,0.0,0.9323308270676691,9,0.5923076923076924,0.0,0.0,0.0,0.9022556390977443,13,0.7615384615384615,0.0,0.0,0.0,0.9774436090225563,3,0.1546875,0.0,0.0,0.0,0.9624060150375939,5,,32,0.0,1e-05,3
0.8063081009296149,0.0,0.0,0.0,0.8312931873793767,0.0,0.0,0.0,0.8584652863937137,0.0,0.0,0.0,,0.0,0.0,0.0,0.7679211469534051,0.0,0.0,0.0,0.9323308270676691,9,0.9961538461538461,0.0,0.0,0.0,0.9022556390977443,13,0.9564102564102563,0.0,0.0,0.0,0.9774436090225563,3,0.6046875,0.0,0.0,0.0,0.9624060150375939,5,,32,0.0,1e-05,4
0.9270916334661354,0.608695652173913,0.875,0.4666666666666667,0.9290752300454921,0.35714285714285715,0.4666666666666667,0.3333333333333333,0.9332075837468982,0.4523809523809524,0.47555555555555556,0.4666666666666667,,0.09273182957393483,0.10526315789473684,0.08771929824561403,0.8575268817204301,0.0,0.0,0.0,0.9323308270676691,9,0.9961538461538461,0.8666666666666667,1.0,0.9285714285714286,0.9849624060150376,13,0.9923076923076923,1.0,0.3333333333333333,0.5,0.9849624060150376,3,0.8703125,0.0,0.0,0.0,0.9624060150375939,5,,32,0.0,5e-05,2
0.9811420982735723,0.6666666666666667,0.8888888888888888,0.5333333333333333,0.9787479321753515,0.6222222222222222,0.7083333333333334,0.558974358974359,0.9744120485249518,0.5748148148148149,0.6277777777777779,0.5333333333333333,,0.10902255639097742,0.12030075187969924,0.10401002506265664,0.9220430107526882,0.0,0.0,0.0,0.9323308270676691,9,0.9955128205128204,0.8333333333333334,0.7692307692307693,0.8,0.9624060150375939,13,0.9974358974358974,1.0,0.6666666666666666,0.8,0.9924812030075187,3,1.0,1.0,0.8,0.888888888888889,0.9924812030075187,5,,32,0.0,5e-05,3
0.9711819389110226,0.68,0.85,0.5666666666666667,0.9772746071133168,0.5615384615384615,0.5865384615384616,0.5448717948717949,0.9730714088778605,0.5733333333333334,0.5833333333333334,0.5666666666666667,,0.11278195488721802,0.12781954887218044,0.10651629072681704,0.9193548387096775,0.0,0.0,0.0,0.9323308270676691,9,0.9948717948717948,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9699248120300752,13,0.9948717948717949,0.5,0.3333333333333333,0.4,0.9774436090225563,3,1.0,1.0,1.0,1.0,1.0,5,,32,0.0,5e-05,4
0.349867197875166,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9323308270676691,9,0.5,0.0,0.0,0.0,0.9022556390977443,13,0.5,0.0,0.0,0.0,0.9774436090225563,3,0.5,0.0,0.0,0.0,0.9624060150375939,5,,32,0.3,1e-05,2
0.349867197875166,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9323308270676691,9,0.5,0.0,0.0,0.0,0.9022556390977443,13,0.5,0.0,0.0,0.0,0.9774436090225563,3,0.5,0.0,0.0,0.0,0.9624060150375939,5,,32,0.3,1e-05,3
